record_id,data_provider_code,ID,VIN,VFN,Mh,Man,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,M,Mb,Mt,TPMLM,Ewltp,W,At1,At2,Ft,Fm,Ec,Ep,Z,Zr,IT,Erwltp,Dr,Fc,R,Ech,RLFI,S
a9285c05-3416-4486-973e-2d514ea19333,NL,512,XMBJR7NX2MY024001,IP-P375_2019_00003-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,BC2X4G,4BDBAQR4,FORD,RANGER,N1G,N1G,2206,,2492,3270,222,3220,1560,1560,DIESEL,M,1996,125,,,E929,4,2023-07-27,2,1,Echtest,RLFItest,Stest
d323501f-fe8d-45af-aa82-c04166451f91,NL,513,XMBJR7NX2MY024002,IP-P375_2019_00003-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,BC2X4G,4BDBAQR4,FORD,RANGER,N1G,N1G,2206,,2492,3270,222,3220,1560,1560,DIESEL,M,1996,125,,,E929,4,2023-07-27,2,1,Echtest,RLFItest,Stest
eb79fff9-5c75-459a-ad34-9b89a3c9adfa,NL,515,XMBJR7NX2MY024003,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-07-21,2,1,Echtest,RLFItest,Stest
47f8aa8f-ad62-4ab4-b26a-7a3e8ff02fb8,NL,514,XMBJR7NX2MY024004,IP-P375_2019_00003-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,BC2X4G,4BDBAQR4,FORD,RANGER,N1G,N1G,2206,,2492,3270,222,3220,1560,1560,DIESEL,M,1996,125,,,E929,4,2023-07-27,2,1,,,
a01537ca-fcd1-4591-862b-5ebe439a7960,NL,516,XMBJR7NX2MY024005,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-07-21,2,1,,,
49e7d5f8-521e-4f64-bcf0-c919b50d4560,NL,517,XMBJR7NX2MY024006,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-06-29,2,1,,,
2804d910-1f23-4c9b-9413-ee03b8e9645d,NL,518,XMBJR7NX2MY024007,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-07-21,2,1,,,
d91b1fc5-f497-41f0-b924-ae6bde0bee59,NL,519,XMBJR7NX2MY024008,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-07-26,2,1,,,
193fd782-ce73-41fb-849d-95f40b03617e,NL,520,XMBJR7NX2MY024009,IP-P375_2019_00003-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,BC2X4G,4BDBAQR4,FORD,RANGER,N1G,N1G,2206,,2492,3270,222,3220,1560,1560,DIESEL,M,1996,125,,,E929,4,2023-07-15,2,1,,,
563eb1d4-35cf-47b1-b087-c4f420265544,NL,521,XMBJR7NX2MY024010,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-07-26,2,1,,,
